id,170_10,170_13,170_16,170_19
106625527,1.0,1.0,1.0,1.0
106625528,0.35,0.72,0.86,0.61
106625529,0.69,0.73,0.8,0.84
106625530,0.93,0.96,0.94,0.91
106625531,0.71,0.78,0.84,0.81
106625532,0.67,0.8,0.79,0.68
106625534,0.97,1.0,1.0,0.92
106625823,0.66,0.7,0.67,0.43
107077671,0.96,0.96,0.91,0.72
107077673,0.44,0.53,0.49,0.29
107077676,0.29,0.4,0.44,0.04
107077677,0.5,0.69,0.68,0.58
107077680,0.4,0.5,0.51,0.35
107077682,0.64,0.63,0.58,0.54
1071909202,0.29,0.33,0.28,0.12
1071909203,0.16,0.39,0.33,0.0
1071909204,0.32,0.48,0.43,0.04
1071909205,0.48,0.42,0.34,0.25
1072583975,0.86,0.75,0.64,0.79
107296552,0.86,0.87,0.98,0.18
107296696,0.96,0.83,0.97,0.24
1073085264,1.0,1.0,1.0,1.0
107402031,0.97,0.96,0.92,0.68
107402032,0.83,0.88,0.86,0.57
1076627273,0.02,0.21,0.0,0.0
1076627274,0.35,0.31,0.12,0.0
1076627279,0.91,0.92,0.92,0.89
1076627280,0.6,0.72,0.64,0.43
1076627281,0.73,0.79,0.79,0.68
1076627282,0.59,0.72,0.63,0.37
1076627305,0.87,0.91,0.9,0.72
1076627306,0.82,0.88,0.88,0.82
1076627307,0.81,0.84,0.92,0.58
1076627308,0.24,0.4,0.09,0.2
1076627310,0.49,0.85,0.9,0.51
1076627311,0.0,0.02,0.0,0.0
1076627312,0.05,0.23,0.08,0.0
1076627326,0.74,0.84,0.72,0.51
1076627327,0.69,0.9,0.93,0.92
1076627328,0.86,0.78,0.72,0.41
1076627329,0.77,0.36,0.3,0.38
1076627331,0.99,1.0,1.0,0.99
1076627332,0.87,1.0,0.88,0.0
1076627333,0.0,0.46,0.5,0.44
1076627334,0.06,0.93,1.0,0.32
1076627335,0.01,0.33,0.43,0.0
1076627336,0.38,0.52,0.43,0.17
1076627341,1.0,1.0,1.0,0.98
1078588289,0.24,1.0,0.99,0.91
1078588290,0.59,0.62,0.52,0.53
1081255577,0.45,0.51,0.51,0.58
1081829992,0.0,0.0,0.0,0.0
1081829994,0.83,1.0,1.0,1.0
1082029407,0.01,0.71,0.61,0.11
1082095018,0.97,0.99,0.98,0.92
1082095019,1.0,1.0,1.0,0.87
1082098499,0.83,0.52,1.0,0.75
1082098500,0.77,0.76,0.8,0.25
1082101014,0.9,0.92,0.8,0.41
1082101015,0.79,0.89,0.91,0.89
1082101016,0.75,0.93,0.96,0.88
1082101017,0.26,0.77,0.84,0.58
1082101020,0.61,0.98,1.0,0.44
1082101030,0.84,0.85,0.49,0.22
1082101031,0.73,0.93,0.94,0.73
1082117413,0.62,0.75,0.82,0.81
1082117414,0.86,0.98,0.99,0.58
1082117415,0.99,1.0,1.0,0.93
1082117416,0.36,0.7,0.59,0.22
1082117418,0.23,0.12,0.27,0.0
1082118016,0.41,0.67,0.55,0.11
1086978763,0.89,0.99,0.93,0.58
1086978764,0.88,0.99,0.96,0.87
1086978767,0.68,0.76,0.7,0.44
1086978769,0.51,0.76,0.64,0.26
1086978770,0.22,0.39,0.4,0.27
1087854965,1.0,1.0,1.0,1.0
1087854966,1.0,1.0,1.0,0.0
1087854967,0.81,0.85,0.89,0.86
1087857735,1.0,1.0,0.31,0.09
1087862769,0.98,1.0,1.0,0.98
1087862770,0.83,0.95,0.95,0.88
1087862772,0.26,0.68,0.61,0.56
1087862774,0.72,0.77,0.76,0.53
1090999980,0.74,0.85,0.72,0.61
1092663420,0.0,0.02,0.0,0.02
1092663421,0.18,0.3,0.0,0.0
1092663424,0.0,0.35,0.0,0.25
1092961615,0.36,0.16,0.18,0.26
1093623386,0.72,0.9,0.91,0.37
1093623389,0.81,0.93,0.88,0.01
1093623390,0.09,0.09,0.09,0.0
1093623391,0.0,0.0,0.0,0.0
1093623392,0.77,0.77,0.77,0.0
1093623393,0.12,0.12,0.12,0.0
1093623394,0.0,0.0,0.0,0.0
1093623395,0.76,0.8,0.8,0.0
1093623396,0.0,0.09,0.09,0.0
1093623397,0.0,0.12,0.0,0.0
1093623398,0.73,0.82,0.8,0.39
1093623399,0.07,0.02,0.05,0.0
1093623400,0.0,0.36,0.36,0.36
1093623401,0.0,0.0,0.0,0.0
1093623402,0.0,0.74,0.74,0.39
1093623403,0.0,0.09,0.09,0.0
1093623404,0.0,0.0,0.0,0.0
1093623405,0.0,0.08,0.0,0.0
1093623410,0.03,0.02,0.0,0.0
1093900876,0.02,0.06,0.04,0.0
1093900890,0.45,0.72,0.69,0.06
1093900894,0.99,0.96,0.88,0.61
1093900895,0.86,0.96,0.96,0.75
1093900896,0.91,0.95,0.95,0.82
1093900897,1.0,1.0,0.98,0.51
1094430436,0.33,0.58,0.58,0.54
1094432075,0.07,0.31,0.13,0.04
1094432077,0.0,0.13,0.12,0.14
1094640647,0.82,0.83,0.76,0.37
1094640648,0.95,0.95,0.82,0.0
1094640649,0.83,0.85,0.84,0.74
1094640650,0.82,0.85,0.84,0.74
1094640652,0.9,0.91,0.84,0.54
1094640655,0.65,0.97,0.93,0.61
1094640656,1.0,1.0,1.0,1.0
1094640657,1.0,1.0,1.0,0.95
1094640658,0.38,0.47,0.24,0.03
1094640659,0.7,0.93,0.88,0.17
1094640660,0.58,0.84,0.87,0.23
1094640661,0.47,0.66,0.63,0.1
1094640662,0.41,0.47,0.22,0.05
1095169850,0.74,0.99,0.98,0.0
1095169851,1.0,1.0,1.0,0.98
1095169852,0.94,0.94,0.94,0.9
1095169853,1.0,1.0,1.0,0.96
1095169854,0.81,0.94,0.73,0.0
1095169855,0.39,0.36,0.0,0.0
1095169885,0.15,0.17,0.1,0.08
